[Vulkan] Usando dispositivo: Intel(R) Graphics (ADL GT2) (tipo: IntegratedGpu)
Paso  | Token           | LogitVar | Entropy  | X-Move   | X-Sigma 
----------------------------------------------------------------------
  -> gemv: key=l0_q, n_in=576, n_out=576
  -> gemv: key=l0_k, n_in=576, n_out=192
  -> gemv: key=l0_v, n_in=576, n_out=192
  -> gemv: key=l0_o, n_in=576, n_out=576
  -> gemv: key=l0_gate, n_in=576, n_out=1
  -> gemv: key=l0_e0_w1, n_in=576, n_out=1536
  -> gemv: key=l0_e0_w3, n_in=576, n_out=1536
  -> gemv: key=l0_e0_w2, n_in=1536, n_out=576
  -> gemv: key=l1_q, n_in=576, n_out=576
  -> gemv: key=l1_k, n_in=576, n_out=192
  -> gemv: key=l1_v, n_in=576, n_out=192
  -> gemv: key=l1_o, n_in=576, n_out=576
  -> gemv: key=l1_gate, n_in=576, n_out=1
  -> gemv: key=l1_e0_w1, n_in=576, n_out=1536
  -> gemv: key=l1_e0_w3, n_in=576, n_out=1536
  -> gemv: key=l1_e0_w2, n_in=1536, n_out=576
  -> gemv: key=l2_q, n_in=576, n_out=576
  -> gemv: key=l2_k, n_in=576, n_out=192
  -> gemv: key=l2_v, n_in=576, n_out=192
  -> gemv: key=l2_o, n_in=576, n_out=576
  -> gemv: key=l2_gate, n_in=576, n_out=1
  -> gemv: key=l2_e0_w1, n_in=576, n_out=1536
  -> gemv: key=l2_e0_w3, n_in=576, n_out=1536
  -> gemv: key=l2_e0_w2, n_in=1536, n_out=576
  -> gemv: key=l3_q, n_in=576, n_out=576
  -> gemv: key=l3_k, n_in=576, n_out=192
  -> gemv: key=l3_v, n_in=576, n_out=192
  -> gemv: key=l3_o, n_in=576, n_out=576
  -> gemv: key=l3_gate, n_in=576, n_out=1
  -> gemv: key=l3_e0_w1, n_in=576, n_out=1536
  -> gemv: key=l3_e0_w3, n_in=576, n_out=1536
  -> gemv: key=l3_e0_w2, n_in=1536, n_out=576
  -> gemv: key=l4_q, n_in=576, n_out=576
  -> gemv: key=l4_k, n_in=576, n_out=192
  -> gemv: key=l4_v, n_in=576, n_out=192
  -> gemv: key=l4_o, n_in=576, n_out=576
  -> gemv: key=l4_gate, n_in=576, n_out=1
  -> gemv: key=l4_e0_w1, n_in=576, n_out=1536
  -> gemv: key=l4_e0_w3, n_in=576, n_out=1536
  -> gemv: key=l4_e0_w2, n_in=1536, n_out=576
  -> gemv: key=l5_q, n_in=576, n_out=576
  -> gemv: key=l5_k, n_in=576, n_out=192
  -> gemv: key=l5_v, n_in=576, n_out=192
  -> gemv: key=l5_o, n_in=576, n_out=576
  -> gemv: key=l5_gate, n_in=576, n_out=1
  -> gemv: key=l5_e0_w1, n_in=576, n_out=1536
  -> gemv: key=l5_e0_w3, n_in=576, n_out=1536
  -> gemv: key=l5_e0_w2, n_in=1536, n_out=576
  -> gemv: key=l6_q, n_in=576, n_out=576
  -> gemv: key=l6_k, n_in=576, n_out=192
  -> gemv: key=l6_v, n_in=576, n_out=192
  -> gemv: key=l6_o, n_in=576, n_out=576
  -> gemv: key=l6_gate, n_in=576, n_out=1
  -> gemv: key=l6_e0_w1, n_in=576, n_out=1536
  -> gemv: key=l6_e0_w3, n_in=576, n_out=1536
  -> gemv: key=l6_e0_w2, n_in=1536, n_out=576
  -> gemv: key=l7_q, n_in=576, n_out=576
  -> gemv: key=l7_k, n_in=576, n_out=192
  -> gemv: key=l7_v, n_in=576, n_out=192
  -> gemv: key=l7_o, n_in=576, n_out=576
  -> gemv: key=l7_gate, n_in=576, n_out=1
  -> gemv: key=l7_e0_w1, n_in=576, n_out=1536
  -> gemv: key=l7_e0_w3, n_in=576, n_out=1536
  -> gemv: key=l7_e0_w2, n_in=1536, n_out=576
  -> gemv: key=l8_q, n_in=576, n_out=576
  -> gemv: key=l8_k, n_in=576, n_out=192
  -> gemv: key=l8_v, n_in=576, n_out=192
  -> gemv: key=l8_o, n_in=576, n_out=576
  -> gemv: key=l8_gate, n_in=576, n_out=1
  -> gemv: key=l8_e0_w1, n_in=576, n_out=1536
  -> gemv: key=l8_e0_w3, n_in=576, n_out=1536
  -> gemv: key=l8_e0_w2, n_in=1536, n_out=576
  -> gemv: key=l9_q, n_in=576, n_out=576
  -> gemv: key=l9_k, n_in=576, n_out=192
  -> gemv: key=l9_v, n_in=576, n_out=192
  -> gemv: key=l9_o, n_in=576, n_out=576
  -> gemv: key=l9_gate, n_in=576, n_out=1
  -> gemv: key=l9_e0_w1, n_in=576, n_out=1536
  -> gemv: key=l9_e0_w3, n_in=576, n_out=1536
  -> gemv: key=l9_e0_w2, n_in=1536, n_out=576
  -> gemv: key=l10_q, n_in=576, n_out=576
  -> gemv: key=l10_k, n_in=576, n_out=192
  -> gemv: key=l10_v, n_in=576, n_out=192
  -> gemv: key=l10_o, n_in=576, n_out=576
  -> gemv: key=l10_gate, n_in=576, n_out=1
  -> gemv: key=l10_e0_w1, n_in=576, n_out=1536
  -> gemv: key=l10_e0_w3, n_in=576, n_out=1536
  -> gemv: key=l10_e0_w2, n_in=1536, n_out=576
  -> gemv: key=l11_q, n_in=576, n_out=576
  -> gemv: key=l11_k, n_in=576, n_out=192
  -> gemv: key=l11_v, n_in=576, n_out=192
  -> gemv: key=l11_o, n_in=576, n_out=576
  -> gemv: key=l11_gate, n_in=576, n_out=1
